Vrest,Upstroke,Vpeak,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,GKr_0.06__Label,PCa_15.13__Label
-88.149,52.771,36.528,122.24,178.36,192.38,240.48,48.096,0.00042198,0.00048187,174.35,450.9,276.55,6.1826e-05,0,0
-87.755,51.42,37.361,164.33,254.51,282.57,362.73,80.16,0.00046732,0.00055176,202.4,527.05,324.65,8.8344e-05,1,1
-87.914,50.484,36.837,134.27,206.41,222.44,288.58,66.132,0.00032771,0.00040593,174.35,436.87,262.53,7.921e-05,1,1
-87.773,47.445,34.091,146.29,204.41,222.44,274.55,52.104,0.0002389,0.00033389,238.48,557.11,318.64,9.7088e-05,0,0
-88.135,53.866,39.361,168.34,260.52,284.57,354.71,70.14,0.00041993,0.00048113,204.41,537.07,332.67,6.5171e-05,1,1
-88.202,51.309,34.968,110.22,144.29,156.31,202.4,46.092,0.00046999,0.0005745,202.4,535.07,332.67,0.00010892,0,0
-88.17,52.771,36.274,138.28,188.38,204.41,260.52,56.112,0.00041128,0.0005017,206.41,525.05,318.64,9.3791e-05,0,0
-88.121,53.893,39.579,118.24,168.34,180.36,228.46,48.096,0.00034505,0.00042963,234.47,565.13,330.66,8.8202e-05,0,0
-88.21,52.66,33.917,122.24,162.32,176.35,226.45,50.1,0.00052651,0.00058071,174.35,468.94,294.59,5.7343e-05,0,1
-87.974,50.902,33.94,108.22,146.29,156.31,198.4,42.084,0.00022281,0.00031326,246.49,585.17,338.68,9.2985e-05,0,0
-88.149,54.032,33.888,140.28,192.38,210.42,264.53,54.108,0.00040878,0.00048406,218.44,555.11,336.67,7.9582e-05,1,0
-88.306,53.669,37.389,116.23,154.31,166.33,210.42,44.088,0.00046853,0.00054485,198.4,513.03,314.63,8.001e-05,0,0
-88.036,50.215,33.507,160.32,248.5,280.56,384.77,104.21,0.00031098,0.0004042,272.55,641.28,368.74,9.8515e-05,1,1
-87.967,52.081,34.283,104.21,144.29,156.31,200.4,44.088,0.00026893,0.00034571,234.47,579.16,344.69,7.9935e-05,0,0
-88.134,55.492,40.026,146.29,214.43,232.46,292.59,60.12,0.00034953,0.00042328,224.45,551.1,326.65,7.7022e-05,1,1
-88.06,52.724,35.833,124.25,168.34,180.36,226.45,46.092,0.0004155,0.00048613,162.32,422.85,260.52,7.1958e-05,0,0
-87.979,52.735,37.629,166.33,258.52,286.57,384.77,98.196,0.00021366,0.00030229,322.65,693.39,370.74,9.3483e-05,1,1
-87.537,54.955,38.126,162.32,260.52,294.59,384.77,90.18,0.00030304,0.00040488,296.59,653.31,356.71,0.00010717,1,1
-87.757,55.761,40.829,140.28,202.4,218.44,274.55,56.112,0.00037047,0.00045619,244.49,587.17,342.69,9.031e-05,1,1
-87.812,52.449,33.385,116.23,172.34,190.38,260.52,70.14,0.00028414,0.00038013,242.48,585.17,342.69,9.9285e-05,0,0
-87.838,53.999,37.944,128.26,186.37,202.4,256.51,54.108,0.00045373,0.0005387,152.3,392.79,240.48,8.5773e-05,1,1
-87.902,51.091,37.222,108.22,142.28,152.3,184.37,32.064,0.00038437,0.00048297,216.43,551.1,334.67,0.00010248,0,0
